ITEM,QUANTITY,PRICE (USD),PRICE (LOCAL £),SOURCE,LINK,HQ TOTAL (USD),HQ TOTAL (£),SELF-PAID ($),SELF-PAID (£)
Orpheus Pico,1.00,0.00,0.00,HQ,N/A,85.12,65.70,13.09,9.56
PCB,5 (min),40.35,30.06,JLCPCB (Grant),N/A,,,,
Case,1.00,0.00,0.00,Me,N/A,,,,
Gateron Red Switches,90.00,26.60,19.82,Grant,https://www.aliexpress.com/item/1005005550328893.html,,,,
EC11 Rotary Encoder,1.00,1.91,1.42,Grant,https://www.aliexpress.com/item/1005005983159472.html,,,,
SK6812 MINI-E LEDs,100.00,3.57,2.66,Grant,https://www.aliexpress.com/item/1005007863635868.html,,,,
1N4148 Diodes,100.00,1.63,1.25,Grant,https://www.aliexpress.com/item/4000142272546.html,,,,
PBT Side Printed Keycaps,1 (set),28.03,20.88,Grant,https://www.amazon.co.uk/PBT-Keycaps-Minimalist-Mechanical-Keyboards/dp/B0BZCFFB94/?th=1,,,,
Aluminium Alloy Knob,2pcs (1 set),4.72,3.52,Me,https://www.aliexpress.com/item/1005008054145777.html,,,,
Sarini Stabilisers 2U etc.,7pcs (1 set),13.41,9.99,Grant,https://www.amazon.co.uk/Sarini-Stabilizers-Stabilizer-Replacement-Accessories/dp/B0D6VF4SQB/,,,,
3x16mm Steel Screws,100.00,5.36,3.99,Grant,https://www.amazon.co.uk/16mm-Small-Steel-Countersunk-Screws/dp/B083M983XD?th=1,,,,
M3 Threaded Insert,100.00,7.64,5.69,Grant,https://www.amazon.co.uk/Threaded-Inserts-Printing-Knurled-Automotive/dp/B0BVMK6DTK,,,,
Acrylic Sheet (1mm),1.00,5.34,3.98,Me,https://www.simplyplastics.com/catalog/sheet/cast-acrylic-sheet/clear-cast-acrylic-sheet/c-24/c-83/p-203,,,,